"team","conf","games","wins","losses","adj_t","adj_o","adj_d","barthag","efg","def_efg","ftr"
"Seton Hall","BE",27,7,20,64.9,98.311579060005,102.44784901767,0.38368441760004,44.8,54.3,34
"Vermont","AE",26,15,11,63.3,98.725136862412,102.88669021576,0.38347605447788,48.3,49.5,29.3
"Fordham","A10",26,10,16,70.7,104.70214168888,109.20255203745,0.38131371672813,49.2,52.6,32.4
"UT Arlington","WAC",25,11,14,68.5,106.8224282354,111.5121851091,0.37892617465879,52.2,50.2,38.5
"Toledo","MAC",26,15,11,69.5,109.20399979364,114.12572487372,0.37590773359213,49.9,55,34.2
"Maine","AE",26,14,12,67,100.04751258905,104.57010710263,0.37555834002293,52.2,50.6,27.1
"Little Rock","OVC",27,16,11,67.5,97.080710904937,101.53498603602,0.37381183761427,49.9,45.6,27.7
"Hawaii","BW",25,12,13,66.4,102.04574149409,106.72842353819,0.37379669299444,50.4,49.3,41.2
"UC Davis","BW",26,13,13,68.1,96.472214977934,100.97364377613,0.37181188074656,46.4,48.5,39
"Bucknell","Pat",29,15,14,68.5,100.6029781999,105.38952927408,0.36945946571432,53.3,50.2,36.4
"Indiana St.","MVC",27,11,16,73.1,106.36868811882,111.63152067736,0.36462166317116,54,54.3,35.8
"Richmond","A10",26,8,18,64.7,103.58490366589,108.90066691821,0.35996585376796,48.4,52.7,31.1
"SIU Edwardsville","OVC",26,16,10,66.8,100.19347298235,105.4297394974,0.35759229888349,49,47.7,32
"South Dakota","Sum",26,14,12,74.9,109.98771494574,115.83425495247,0.35535006334041,50.5,54.9,45.8
"Delaware","CAA",27,10,17,71.2,109.08728602237,114.98420522659,0.35310149977525,54.4,52.3,30.2
"Idaho","BSky",26,10,16,67.1,109.60380680031,115.66644361836,0.34997656129467,52.8,54.8,34.4
"Northwestern St.","Slnd",25,10,15,64.9,100.99999904117,106.75575765411,0.34584233451221,47.9,49.9,32.1
"Tennessee St.","OVC",26,11,15,72.1,102.67919846274,108.68988552169,0.34203792032928,51.2,49.4,41
"Marist","MAAC",25,20,5,65.1,99.185049541732,104.99578230731,0.34192483748398,51.9,46.8,23.9
"UMKC","Sum",25,7,18,65.3,100.91156516549,106.9917674448,0.3378624318419,48.9,52.1,30.8
"Valparaiso","MVC",27,11,16,69,105.77071216904,112.44033392617,0.33109999292926,47.7,54.4,36.8
"Gardner Webb","BSth",27,10,17,70.1,104.22564992833,111.04474887683,0.32545536125751,52.8,52.5,37
"North Dakota","Sum",26,8,18,69.6,108.17719093351,115.32960815679,0.32381990471132,49.5,57.6,34.2
"American","Pat",27,16,11,64.2,102.20566259702,109.04670147328,0.32189530234349,51.1,52.3,30.3
"Northern Arizona","BSky",25,12,13,67.3,103.73500634918,110.72825166914,0.32076619193702,49.8,53.1,29.7
"Cal St. Bakersfield","BW",27,10,17,66.5,105.48445818988,112.60375537408,0.32058567930249,48.3,54.3,35.8
"Georgia Southern","SB",28,13,15,70.8,101.9782537028,109.20108197038,0.31282160214278,50.3,50.1,26.8
"Sacred Heart","MAAC",26,11,15,71.2,105.59854751263,113.1141715619,0.31202693170842,51.4,52.4,27.7
"North Florida","ASun",27,13,14,72.9,109.03280545096,116.84085208746,0.31101344643389,53,53.6,25.3
"Eastern Washington","BSky",26,8,18,68.1,103.329982398,110.75618319501,0.3104230897286,51.2,54.8,31.1
"Incarnate Word","Slnd",24,10,14,65.2,105.36891461436,113.01332941152,0.30886343380077,51.3,52.9,25.5
"Georgia St.","SB",28,12,16,70.2,105.41096045759,113.07204989358,0.30856770289327,50.1,51.3,33.2
